Event	ID	Name			Wwise Object Path	Notes
	10099645	StartBattle			\Default Work Unit\Interactables\TV\TV Fight\StartBattle	
	165295640	DialogStartBed			\Default Work Unit\Interactables\DialogStartBed	
	180661997	Attack			\Default Work Unit\Interactables\TV\TV Fight\Attack	
	832825332	StopNews			\Default Work Unit\Interactables\TV\StopNews	
	1122283870	MusicStart			\Default Work Unit\MusicStart	
	1254152031	DialogStartTodolist			\Default Work Unit\Interactables\DialogStartTodolist	
	1404805401	DoorOpen			\Default Work Unit\DoorOpen	
	1916415631	KillingBlow			\Default Work Unit\Interactables\TV\TV Fight\KillingBlow	
	2037790311	PourCoffee			\Default Work Unit\Interactables\PourCoffee	
	2218040726	SceneEnd			\Default Work Unit\SceneEnd	
	2401650427	DialogStartMess			\Default Work Unit\Interactables\DialogStartMess	
	2803552149	MusicEnd			\Default Work Unit\MusicEnd	
	2992915453	TextSound			\Default Work Unit\TextSound	
	3406973798	DialogStartNews			\Default Work Unit\Interactables\TV\DialogStartNews	
	4042399731	DialogStartLappy			\Default Work Unit\Interactables\DialogStartLappy	
	4058101365	GameStart			\Default Work Unit\GameStart	

State Group	ID	Name			Wwise Object Path	Notes
	3686139462	Area			\Default Work Unit\Area	

State	ID	Name	State Group			Notes
	438105790	Outside	Area			
	748895195	None	Area			
	3553349781	Inside	Area			

Custom State	ID	Name	State Group	Owner		Notes
	331524198	Outside	Area	\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience		
	697435177	Inside	Area	\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience		
	1059898990	Outside	Area	\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Indoor Ambience		

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	354761123	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Birds\Silence\Wwise Silence	
	374694948	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Air\Gusts\Silence\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	788425589	Objects, Furniture, Bed, Person Sits On Wooden Frame, Creak 01 SND24648	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Objects, Furniture, Bed, Person Sits On Wooden Frame, Creak 01 SND24648_87897D4D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\Bed\Objects, Furniture, Bed, Person Sits On Wooden Frame, Creak 01 SND24648		146128
	796831017	DESTRUCTION Glass Break 4	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\DESTRUCTION Glass Break 4_D036286C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Kicks\Glass Cracks\DESTRUCTION Glass Break 4		145080
	841667161	Clocks, Tick, Grandfather Clock 02 SND12579	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Clocks, Tick, Grandfather Clock 02 SND12579_D83F2515.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Indoor Ambience\Clocks, Tick, Grandfather Clock 02 SND12579		5760128
	943570972	Drums	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Day to Day Drums_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Day to Day\A Section\Drums		14887452
	981540716	DESTRUCTION Glass Break 5	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\DESTRUCTION Glass Break 5_99D6109F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Kicks\Glass Cracks\DESTRUCTION Glass Break 5		154492
	994015190	Woosh 2	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Fight, Cloth, Punch, Block, Swoosh SND4355 1_FBF0C010.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Wooshes\Woosh 2		21982
	1003846998	Thud 1	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\SPORTS Soccer Kick 2_D80EBF4B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\TV\Fight\Impacts\Attacks\Kicks\Thud\Thud 1		54304
	1007428521	Low Air	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Wind Whistle_C77BD399.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Air\Low Air		1728128
	1051067700	Coffee Machine	C:\Users\antde\Documents\Adam Games\existential_rpg\existential_rpg_WwiseProject\.cache\Linux\SFX\Food & Drink, Glassware, Pouring Coffee, Hot Liquid, Mug SND12585_A8CE7167.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\Coffee Machine		207790

